system,distance_scope,protein_type,bin_start_nm,bin_end_nm,frame_mean_count_mean,frame_mean_probability_mean,cumulative_probability_mean,frame_mean_count_sd,frame_mean_probability_sd,cumulative_probability_sd,frame_mean_count_n,frame_mean_probability_n,cumulative_probability_n
M0O100D1,bead,MED1,0.0,0.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,0.25,0.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,0.5,0.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,0.75,1.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,1.0,1.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,1.25,1.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,1.5,1.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,1.75,2.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,2.0,2.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,2.25,2.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,2.5,2.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,2.75,3.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,3.0,3.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,3.25,3.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,3.5,3.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,3.75,4.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,4.0,4.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,4.25,4.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,4.5,4.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,4.75,5.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,5.0,5.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,5.25,5.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,5.5,5.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,5.75,6.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,6.0,6.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,6.25,6.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,6.5,6.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,6.75,7.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,7.0,7.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,7.25,7.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,7.5,7.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,7.75,8.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,8.0,8.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,8.25,8.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,8.5,8.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,8.75,9.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,9.0,9.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,9.25,9.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,9.5,9.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,9.75,10.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,10.0,10.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,10.25,10.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,10.5,10.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,10.75,11.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,11.0,11.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,11.25,11.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,11.5,11.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,11.75,12.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,12.0,12.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,12.25,12.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,12.5,12.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,12.75,13.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,13.0,13.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,13.25,13.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,13.5,13.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,13.75,14.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,14.0,14.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,14.25,14.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,14.5,14.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,14.75,15.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,15.0,15.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,15.25,15.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,15.5,15.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,15.75,16.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,16.0,16.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,16.25,16.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,16.5,16.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,16.75,17.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,17.0,17.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,17.25,17.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,17.5,17.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,17.75,18.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,18.0,18.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,18.25,18.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,18.5,18.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,18.75,19.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,19.0,19.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,19.25,19.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,19.5,19.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,19.75,20.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,20.0,20.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,20.25,20.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,20.5,20.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,20.75,21.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,21.0,21.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,21.25,21.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,21.5,21.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,21.75,22.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,22.0,22.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,22.25,22.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,22.5,22.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,22.75,23.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,23.0,23.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,23.25,23.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,23.5,23.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,23.75,24.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,24.0,24.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,24.25,24.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,24.5,24.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,24.75,25.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,25.0,25.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,25.25,25.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,25.5,25.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,25.75,26.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,26.0,26.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,26.25,26.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,26.5,26.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,26.75,27.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,27.0,27.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,27.25,27.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,27.5,27.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,27.75,28.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,28.0,28.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,28.25,28.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,28.5,28.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,28.75,29.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,29.0,29.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,29.25,29.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,29.5,29.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,29.75,30.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,30.0,30.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,30.25,30.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,30.5,30.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,30.75,31.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,31.0,31.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,31.25,31.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,31.5,31.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,31.75,32.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,32.0,32.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,32.25,32.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,32.5,32.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,32.75,33.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,33.0,33.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,33.25,33.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,33.5,33.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,33.75,34.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,34.0,34.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,34.25,34.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,34.5,34.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,34.75,35.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,35.0,35.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,35.25,35.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,35.5,35.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,35.75,36.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,36.0,36.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,36.25,36.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,36.5,36.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,36.75,37.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,37.0,37.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,37.25,37.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,37.5,37.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,37.75,38.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,38.0,38.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,38.25,38.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,38.5,38.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,38.75,39.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,39.0,39.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,39.25,39.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,39.5,39.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,39.75,40.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,40.0,40.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,40.25,40.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,40.5,40.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,40.75,41.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,41.0,41.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,41.25,41.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,41.5,41.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,41.75,42.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,42.0,42.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,42.25,42.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,42.5,42.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,42.75,43.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,43.0,43.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,43.25,43.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,43.5,43.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,43.75,44.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,44.0,44.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,44.25,44.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,44.5,44.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,44.75,45.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,45.0,45.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,45.25,45.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,45.5,45.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,45.75,46.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,46.0,46.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,46.25,46.5,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,46.5,46.75,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,46.75,47.0,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,47.0,47.25,0.0,,,0.0,,,3,0,0
M0O100D1,bead,MED1,47.25,47.5,0.0,,,0.0,,,3,0,0
